player_height,player_weight,pts,reb,ast,net_rating,usg_pct,ts_pct
195.58,92.98636,22.5,5,4.4,2.6,0.28,0.565
203.2,111.13004,3.2,6.6,0.5,-0.4,0.089,0.51
200.66,88.45044,12.6,2.5,2.4,3.7,0.17,0.597
200.66,115.66596,3.1,1.2,0.2,0.6,0.237,0.58
200.66,87.543256,19.7,3.9,2.5,3.2,0.314,0.531
200.66,100.697424,15.5,6.4,2.5,6.4,0.197,0.563
193.04,86.18248,3.5,1.1,2.1,2.3,0.173,0.543
200.66,106.59412,9,4.3,3.3,2.8,0.157,0.523
200.66,89.357624,20.6,4.9,5.5,-10.3,0.269,0.485
210.82,113.398,1.6,1.4,0.3,-7.2,0.225,0.34
208.28,107.954896,6.5,6.4,2.9,4.4,0.123,0.488
187.96,86.18248,5.2,1.8,2.9,-10.1,0.202,0.473
203.2,128.820128,3.9,3.8,0.7,0.3,0.17,0.486
190.5,83.91452,6.8,2,4.6,2.5,0.191,0.492
200.66,115.66596,7,3.9,1.6,2.7,0.203,0.483
205.74,104.32616,9,3,1.7,-11.3,0.24,0.469
195.58,90.7184,1.8,0.7,0.7,-6.2,0.148,0.471
200.66,95.25432,7.7,2.1,1.6,2,0.189,0.439
213.36,116.573144,0,0.5,0.5,27.3,0.104,0
187.96,92.98636,22.3,3.2,8.1,1.5,0.274,0.52
190.5,88.45044,21,6.2,6.2,2.4,0.259,0.541
190.5,88.45044,17.8,2.9,7.3,10.3,0.242,0.576
213.36,99.79024,3.9,2.8,0.2,3.1,0.139,0.531
205.74,113.398,5.6,7,0.7,-7.3,0.133,0.457
182.88,80.739376,8.6,2,3.5,-0.9,0.167,0.523
215.9,106.59412,9.2,6.9,1,-8.6,0.182,0.565
210.82,113.398,5.2,3.8,0.6,-2.2,0.154,0.531
198.12,102.0582,20.6,4.4,3.3,-1.2,0.279,0.532
200.66,95.25432,6.9,2.7,2.2,-7.6,0.174,0.446
208.28,129.27372,4,3.4,0.2,-6.4,0.156,0.492
215.9,117.93392,9.9,7.2,3.4,9.5,0.171,0.519
208.28,106.140528,10.1,4.5,1.3,4.7,0.199,0.508
215.9,115.66596,5.6,7,0.3,-6.3,0.164,0.454
193.04,92.98636,14.3,3.4,2.3,-9,0.234,0.502
200.66,110.676448,17.6,4.6,2.6,4.2,0.221,0.567
203.2,104.32616,5.5,3.1,0.9,4.1,0.155,0.5
